#motif_id	gene_name	motif_similarity_qvalue	orthologous_identity	description
Nfe2l2_glue	Nfe2l2	0.0	1.0	placeholder
Ctcf_glue	Ctcf	0.0	1.0	placeholder
Scrt1_glue	Scrt1	0.0	1.0	placeholder
Scrt2_glue	Scrt2	0.0	1.0	placeholder
Dmrta1_glue	Dmrta1	0.0	1.0	placeholder
Dmrta2_glue	Dmrta2	0.0	1.0	placeholder
Thap11_glue	Thap11	0.0	1.0	placeholder
Thra_glue	Thra	0.0	1.0	placeholder
Usf1_glue	Usf1	0.0	1.0	placeholder
Pbx3_glue	Pbx3	0.0	1.0	placeholder
Pknox1_glue	Pknox1	0.0	1.0	placeholder
Pou4f1_glue	Pou4f1	0.0	1.0	placeholder
Tcp1_glue	Tcp1	0.0	1.0	placeholder
Klf6_glue	Klf6	0.0	1.0	placeholder
Ikzf1_glue	Ikzf1	0.0	1.0	placeholder
Ikzf3_glue	Ikzf3	0.0	1.0	placeholder
Ehf_glue	Ehf	0.0	1.0	placeholder
Zfp78_glue	Zfp78	0.0	1.0	placeholder
E2f6_glue	E2f6	0.0	1.0	placeholder
Klf17_glue	Klf17	0.0	1.0	placeholder
Elf5_glue	Elf5	0.0	1.0	placeholder
Ctcfl_glue	Ctcfl	0.0	1.0	placeholder
Zbtb18_glue	Zbtb18	0.0	1.0	placeholder
Nr1d1_glue	Nr1d1	0.0	1.0	placeholder
Pbx1_glue	Pbx1	0.0	1.0	placeholder
Maff_glue	Maff	0.0	1.0	placeholder
Plag1_glue	Plag1	0.0	1.0	placeholder
Nfat5_glue	Nfat5	0.0	1.0	placeholder
Rbpj_glue	Rbpj	0.0	1.0	placeholder
Prdm15_glue	Prdm15	0.0	1.0	placeholder
Tfcp2l1_glue	Tfcp2l1	0.0	1.0	placeholder
Gata3_glue	Gata3	0.0	1.0	placeholder
Trps1_glue	Trps1	0.0	1.0	placeholder
Stat5b_glue	Stat5b	0.0	1.0	placeholder
Atf4_glue	Atf4	0.0	1.0	placeholder
Tfap4_glue	Tfap4	0.0	1.0	placeholder
Gata2_glue	Gata2	0.0	1.0	placeholder
Nr6a1_glue	Nr6a1	0.0	1.0	placeholder
Tbx6_glue	Tbx6	0.0	1.0	placeholder
Rbpjl_glue	Rbpjl	0.0	1.0	placeholder
Pknox2_glue	Pknox2	0.0	1.0	placeholder
Tgif1_glue	Tgif1	0.0	1.0	placeholder
Tgif2_glue	Tgif2	0.0	1.0	placeholder
Nfic_glue	Nfic	0.0	1.0	placeholder
Nfix_glue	Nfix	0.0	1.0	placeholder
Creb3l2_glue	Creb3l2	0.0	1.0	placeholder
Max_glue	Max	0.0	1.0	placeholder
Mnt_glue	Mnt	0.0	1.0	placeholder
Zfp42_glue	Zfp42	0.0	1.0	placeholder
Tcf7_glue	Tcf7	0.0	1.0	placeholder
Tcf7l1_glue	Tcf7l1	0.0	1.0	placeholder
Bcl6b_glue	Bcl6b	0.0	1.0	placeholder
Elf2_glue	Elf2	0.0	1.0	placeholder
Elf4_glue	Elf4	0.0	1.0	placeholder
Nkx2-1_glue	Nkx2-1	0.0	1.0	placeholder
Zfp523_glue	Zfp523	0.0	1.0	placeholder
Sox10_glue	Sox10	0.0	1.0	placeholder
Zfp740_glue	Zfp740	0.0	1.0	placeholder
Runx1_glue	Runx1	0.0	1.0	placeholder
Pou6f1_glue	Pou6f1	0.0	1.0	placeholder
Osr1_glue	Osr1	0.0	1.0	placeholder
Tead1_glue	Tead1	0.0	1.0	placeholder
Hsf1_glue	Hsf1	0.0	1.0	placeholder
Creb3l4_glue	Creb3l4	0.0	1.0	placeholder
Patz1_glue	Patz1	0.0	1.0	placeholder
Maz_glue	Maz	0.0	1.0	placeholder
Zfp148_glue	Zfp148	0.0	1.0	placeholder
Sp5_glue	Sp5	0.0	1.0	placeholder
Hnf4a_glue	Hnf4a	0.0	1.0	placeholder
Hnf4g_glue	Hnf4g	0.0	1.0	placeholder
Mafk_glue	Mafk	0.0	1.0	placeholder
Nfya_glue	Nfya	0.0	1.0	placeholder
Nfyc_glue	Nfyc	0.0	1.0	placeholder
Tfap2a_glue	Tfap2a	0.0	1.0	placeholder
Tfap2c_glue	Tfap2c	0.0	1.0	placeholder
Esrra_glue	Esrra	0.0	1.0	placeholder
Rora_glue	Rora	0.0	1.0	placeholder
Esrrb_glue	Esrrb	0.0	1.0	placeholder
Esrrg_glue	Esrrg	0.0	1.0	placeholder
Mxi1_glue	Mxi1	0.0	1.0	placeholder
Mecom_glue	Mecom	0.0	1.0	placeholder
Atf3_glue	Atf3	0.0	1.0	placeholder
